        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
 2020-02-03 00:07:24-03 | 2020-02-03 00:07:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.2 | 14844.6
 2020-02-03 00:07:32-03 | 2020-02-03 00:07:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.2 | 14771.7
 2020-02-03 00:07:36-03 | 2020-02-03 00:07:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14793.1 | 14773.3
 2020-02-03 00:07:40-03 | 2020-02-03 00:07:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14793.1 | 14764.4
 2020-02-03 00:07:44-03 | 2020-02-03 00:07:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14793.1 | 14776.4
 2020-02-03 00:07:52-03 | 2020-02-03 00:07:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14793.1 | 14742.2
 2020-02-03 00:07:56-03 | 2020-02-03 00:08:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.2 | 14764.5
 2020-02-03 00:08:00-03 | 2020-02-03 00:08:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.2 | 14753.6
 2020-02-03 00:08:04-03 | 2020-02-03 00:08:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.2 | 14745.4
 2020-02-03 00:08:12-03 | 2020-02-03 00:08:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.2 | 14734.6
 2020-02-03 00:08:20-03 | 2020-02-03 00:08:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14729.5 | 14730.6
 2020-02-03 00:08:24-03 | 2020-02-03 00:08:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14729.5 | 14734.5
 2020-02-03 00:08:32-03 | 2020-02-03 00:08:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14729.5 |   14743
 2020-02-03 00:08:36-03 | 2020-02-03 00:08:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14743 | 14744.4
 2020-02-03 00:08:40-03 | 2020-02-03 00:08:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14743 | 14748.3
 2020-02-03 00:08:44-03 | 2020-02-03 00:08:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14743 | 14758.6
 2020-02-03 00:08:52-03 | 2020-02-03 00:08:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14743 | 14746.6
 2020-02-03 00:08:56-03 | 2020-02-03 00:09:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14746.6 | 14754.2
 2020-02-03 00:09:00-03 | 2020-02-03 00:09:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14746.6 | 14753.6
 2020-02-03 00:09:04-03 | 2020-02-03 00:09:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14746.6 | 14765.5
 2020-02-03 00:09:12-03 | 2020-02-03 00:09:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14746.6 | 14757.7
 2020-02-03 00:09:20-03 | 2020-02-03 00:09:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14757.7 | 14775.8
 2020-02-03 00:09:24-03 | 2020-02-03 00:09:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14757.7 | 14789.7
 2020-02-03 00:09:28-03 | 2020-02-03 00:09:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14757.7 | 14775.3
 2020-02-03 00:09:32-03 | 2020-02-03 00:09:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14757.7 | 14797.6
 2020-02-03 00:09:40-03 | 2020-02-03 00:09:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14794.6 | 14775.9
 2020-02-03 00:09:44-03 | 2020-02-03 00:09:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14794.6 | 14812.7
 2020-02-03 00:09:48-03 | 2020-02-03 00:09:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14794.6 | 14810.4
 2020-02-03 00:09:52-03 | 2020-02-03 00:10:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14794.6 | 14841.2
 2020-02-03 00:10:00-03 | 2020-02-03 00:10:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14841.2 | 14778.7
 2020-02-03 00:10:04-03 | 2020-02-03 00:10:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14841.2 | 14795.1
 2020-02-03 00:10:12-03 | 2020-02-03 00:10:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14841.2 |   14779
 2020-02-03 00:10:20-03 | 2020-02-03 00:10:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14779 | 14770.2
 2020-02-03 00:10:28-03 | 2020-02-03 00:10:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14779 | 14754.5
 2020-02-03 00:10:32-03 | 2020-02-03 00:10:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14779 | 14777.7
 2020-02-03 00:10:40-03 | 2020-02-03 00:10:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14777.7 | 14787.4
 2020-02-03 00:10:48-03 | 2020-02-03 00:10:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14777.7 | 14784.7
 2020-02-03 00:10:52-03 | 2020-02-03 00:10:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14777.7 | 14789.2
 2020-02-03 00:10:56-03 | 2020-02-03 00:11:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14789.2 | 14762.3
 2020-02-03 00:11:00-03 | 2020-02-03 00:11:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14789.2 | 14774.2
 2020-02-03 00:11:08-03 | 2020-02-03 00:11:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14789.2 | 14763.3
 2020-02-03 00:11:16-03 | 2020-02-03 00:11:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14763.3 | 14759.6
 2020-02-03 00:11:20-03 | 2020-02-03 00:11:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14763.3 | 14764.7
 2020-02-03 00:11:28-03 | 2020-02-03 00:11:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14763.3 | 14771.1
 2020-02-03 00:11:32-03 | 2020-02-03 00:11:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14763.3 | 14772.5
